year,Seasons,Districts,AirTemp,AtmPressure,EvapoTrans,Humidity,LStemp,NDVI,Rainfall,SoilMoisture,SolarRad,WindForce
2018,Season A,Nyagatare,21.83,782.48,0.06,58.96,23.45,0.14,107.45,0.32,334.8,-0.75
2018,Season A,Gatsibo,21.83,782.48,0.06,58.96,23.45,0.07,88.35,0.32,334.8,-0.75
2018,Season A,Kayonza,22.76,782.25,0.06,57.01,24.37,0.13,77.9,0.31,339.72,-0.86
2018,Season A,Kirehe,23.53,782.28,0.05,56.69,25.22,0.18,94.83,0.28,344.54,-0.84
2018,Season A,Ngoma,22.76,782.25,0.06,57.01,24.37,0.16,110.1,0.31,339.72,-0.86
2018,Season A,Rwamagana,22.76,782.25,0.06,57.01,24.37,0.09,111.05,0.31,339.72,-0.86
2018,Season A,Bugesera,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2018,Season A,Gasabo,22.76,782.25,0.06,57.01,24.37,0.19,95.2,0.31,339.72,-0.86
2018,Season A,Kicukiro,22.76,782.25,0.06,57.01,24.37,0.19,106.48,0.31,339.72,-0.86
2018,Season A,Nyarugenge,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2018,Season A,Kamonyi,21.29,782.3,0.08,59.48,22.88,0.19,98.85,0.31,329.73,-0.88
2018,Season A,Muhanga,21.29,782.3,0.08,59.48,22.88,0.04,114.65,0.31,329.73,-0.88
2018,Season A,Ruhango,21.29,782.3,0.08,59.48,22.88,0.12,86.5,0.31,329.73,-0.88
2018,Season A,Nyanza,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2018,Season A,Gisagara,22.47,782.08,0.09,56.92,24.15,0.28,95.2,0.31,336.56,-0.74
2018,Season A,Huye,22.47,782.08,0.09,56.92,24.15,0.1,78.95,0.31,336.56,-0.74
2018,Season A,Nyaruguru,20.88,782.33,0.12,61.85,22.42,0.11,113.7,0.4,328.18,-0.68
2018,Season A,Nyamagabe,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2018,Season A,Karongi,19.95,782.51,0.1,63.9,21.62,0.08,157.7,0.36,322.93,-0.54
2018,Season A,Nyabihu,19.51,782.88,0.12,68.13,21.06,0,174.35,0.38,324.06,-0.32
2018,Season A,Ngororero,21.29,782.3,0.08,59.48,22.88,0.07,131.5,0.31,329.73,-0.88
2018,Season A,Rubavu,19.95,782.51,0.1,63.9,21.62,0.08,154.95,0.36,322.93,-0.54
2018,Season A,Rutsiro,19.95,782.51,0.1,63.9,21.62,0,151.65,0.36,322.93,-0.54
2018,Season A,Nyamasheke,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2018,Season A,Rusizi,20.88,782.33,0.12,61.85,22.42,0.1,153.65,0.4,328.18,-0.68
2018,Season A,Rulindo,21.29,782.3,0.08,59.48,22.88,0.21,120.2,0.31,329.73,-0.88
2018,Season A,Gakenke,21.29,782.3,0.08,59.48,22.88,0.04,137.2,0.31,329.73,-0.88
2018,Season A,Gicumbi,20.07,782.77,0.11,63.88,21.68,0.17,121.28,0.34,324.94,-0.66
2018,Season A,Burera,20.07,782.77,0.11,63.88,21.68,0,166.02,0.34,324.94,-0.66
2018,Season A,Musanze,20.07,782.77,0.11,63.88,21.68,0.07,186.75,0.34,324.94,-0.66
2018,Season B,Nyagatare,21.24,787.05,0.22,63.8,22.31,0.02,169.05,0.3,334.35,-0.4
2018,Season B,Gatsibo,21.24,787.05,0.22,63.8,22.31,0,139.5,0.3,334.35,-0.4
2018,Season B,Kayonza,21.82,786.99,0.25,62.65,22.77,0,151.8,0.36,338.53,-0.38
2018,Season B,Kirehe,22.39,787.08,0.2,62.13,23.48,0.14,112.3,0.26,343.43,-0.37
2018,Season B,Ngoma,21.82,786.99,0.25,62.65,22.77,0.09,130.7,0.36,338.53,-0.38
2018,Season B,Rwamagana,21.82,786.99,0.25,62.65,22.77,0.04,136.6,0.36,338.53,-0.38
2018,Season B,Bugesera,21.82,786.99,0.25,62.65,22.77,0.09,137.52,0.36,338.53,-0.38
2018,Season B,Gasabo,21.82,786.99,0.25,62.65,22.77,0.12,146.38,0.36,338.53,-0.38
2018,Season B,Kicukiro,21.82,786.99,0.25,62.65,22.77,0.07,139.55,0.36,338.53,-0.38
2018,Season B,Nyarugenge,20.33,787.15,0.21,64.07,21.36,0.04,131.2,0.26,327.42,-0.53
2018,Season B,Kamonyi,20.33,787.15,0.21,64.07,21.36,0.04,134.62,0.26,327.42,-0.53
2018,Season B,Muhanga,20.33,787.15,0.21,64.07,21.36,0,150.7,0.26,327.42,-0.53
2018,Season B,Ruhango,20.33,787.15,0.21,64.07,21.36,0.14,125.85,0.26,327.42,-0.53
2018,Season B,Nyanza,21.28,787.04,0.21,61.93,22.43,0.17,114.25,0.26,334.2,-0.43
2018,Season B,Gisagara,21.28,787.04,0.21,61.93,22.43,0.18,114.53,0.26,334.2,-0.43
2018,Season B,Huye,21.28,787.04,0.21,61.93,22.43,0.13,122.12,0.26,334.2,-0.43
2018,Season B,Nyaruguru,19.97,787.15,0.25,64.69,20.98,0.04,120.08,0.41,326,-0.7
2018,Season B,Nyamagabe,19.97,787.15,0.25,64.69,20.98,0.05,140.82,0.41,326,-0.7
2018,Season B,Karongi,19.34,787.15,0.23,65.65,20.47,0,150.52,0.34,321.46,-0.65
2018,Season B,Nyabihu,19.62,787.07,0.24,65.81,20.76,0.04,135,0.64,324.17,-0.48
2018,Season B,Ngororero,20.33,787.15,0.21,64.07,21.36,0,149.98,0.26,327.42,-0.53
2018,Season B,Rubavu,19.34,787.15,0.23,65.65,20.47,0.12,150.35,0.34,321.46,-0.65
2018,Season B,Rutsiro,19.34,787.15,0.23,65.65,20.47,0,147.05,0.34,321.46,-0.65
2018,Season B,Nyamasheke,19.97,787.15,0.25,64.69,20.98,0,147.07,0.41,326,-0.7
2018,Season B,Rusizi,19.97,787.15,0.25,64.69,20.98,0,157.38,0.41,326,-0.7
2018,Season B,Rulindo,20.33,787.15,0.21,64.07,21.36,0.14,138.4,0.26,327.42,-0.53
2018,Season B,Gakenke,20.33,787.15,0.21,64.07,21.36,0.05,128.75,0.26,327.42,-0.53
2018,Season B,Gicumbi,19.66,787.28,0.25,66.24,20.68,0.1,136.3,0.6,324.18,-0.51
2018,Season B,Burera,19.66,787.28,0.25,66.24,20.68,0.1,146.32,0.6,324.18,-0.51
2018,Season B,Musanze,19.66,787.28,0.25,66.24,20.68,0.03,158.5,0.6,324.18,-0.51
2018,Season C,Nyagatare,22.06,793.64,0.03,34.73,23.72,0.1,10.9,0.18,317.92,-0.92
2018,Season C,Gatsibo,22.06,793.64,0.03,34.73,23.72,0.19,13.43,0.18,317.92,-0.92
2018,Season C,Kayonza,22.66,793.67,0.09,32.76,24.17,0.2,25.03,0.18,319.92,-0.85
2018,Season C,Kirehe,23.27,793.86,0.02,31.34,24.97,0.15,19.33,0.18,322.37,-0.84
2018,Season C,Ngoma,22.66,793.67,0.09,32.76,24.17,0.14,20.17,0.18,319.92,-0.85
2018,Season C,Rwamagana,22.66,793.67,0.09,32.76,24.17,0.07,22,0.18,319.92,-0.85
2018,Season C,Bugesera,22.66,793.67,0.09,32.76,24.17,0.13,25.6,0.18,319.92,-0.85
2018,Season C,Gasabo,22.66,793.67,0.09,32.76,24.17,0.29,29.83,0.18,319.92,-0.85
2018,Season C,Kicukiro,22.66,793.67,0.09,32.76,24.17,0.18,28.83,0.18,319.92,-0.85
2018,Season C,Nyarugenge,21.08,793.77,0.07,33.71,22.56,0.34,36.17,0.18,309.77,-1.06
2018,Season C,Kamonyi,21.08,793.77,0.07,33.71,22.56,0.19,29.07,0.18,309.77,-1.06
2018,Season C,Muhanga,21.08,793.77,0.07,33.71,22.56,0.05,24.73,0.18,309.77,-1.06
2018,Season C,Ruhango,21.08,793.77,0.07,33.71,22.56,0.12,15.63,0.18,309.77,-1.06
2018,Season C,Nyanza,21.88,793.88,0.06,32.24,23.45,0.14,23.7,0.18,313.56,-0.84
2018,Season C,Gisagara,21.88,793.88,0.06,32.24,23.45,0.28,24.73,0.18,313.56,-0.84
2018,Season C,Huye,21.88,793.88,0.06,32.24,23.45,0.19,25.03,0.18,313.56,-0.84
2018,Season C,Nyaruguru,20.5,793.93,0.11,34.77,21.85,0.06,25,0.18,306.45,-1.16
2018,Season C,Nyamagabe,20.5,793.93,0.11,34.77,21.85,0.06,32.93,0.18,306.45,-1.16
2018,Season C,Karongi,19.98,793.79,0.1,35.74,21.61,0.16,23.97,0.18,303.85,-0.95
2018,Season C,Nyabihu,19.78,793.79,0.15,42.59,21.02,0.05,47.7,0.24,308.41,-0.4
2018,Season C,Ngororero,21.08,793.77,0.07,33.71,22.56,0.16,27.83,0.18,309.77,-1.06
2018,Season C,Rubavu,19.98,793.79,0.1,35.74,21.61,0.18,42.8,0.18,303.85,-0.95
2018,Season C,Rutsiro,19.98,793.79,0.1,35.74,21.61,0.11,21.5,0.18,303.85,-0.95
2018,Season C,Nyamasheke,20.5,793.93,0.11,34.77,21.85,0.15,32.17,0.18,306.45,-1.16
2018,Season C,Rusizi,20.5,793.93,0.11,34.77,21.85,0.07,24.13,0.18,306.45,-1.16
2018,Season C,Rulindo,21.08,793.77,0.07,33.71,22.56,0.31,41.07,0.18,309.77,-1.06
2018,Season C,Gakenke,21.08,793.77,0.07,33.71,22.56,0.17,34.23,0.18,309.77,-1.06
2018,Season C,Gicumbi,20.14,793.84,0.15,38.21,21.34,0.35,33.73,0.21,308.83,-0.92
2018,Season C,Burera,20.14,793.84,0.15,38.21,21.34,0.04,54.7,0.21,308.83,-0.92
2018,Season C,Musanze,20.14,793.84,0.15,38.21,21.34,0.15,44.63,0.21,308.83,-0.92
2019,Season A,Nyagatare,21.05,784.37,0.12,67.44,22.45,0.1,90.1,0.53,336,-0.48
2019,Season A,Gatsibo,21.05,784.37,0.12,67.44,22.45,0.15,112.52,0.53,336,-0.48
2019,Season A,Kayonza,21.86,784.17,0.12,65.41,23.22,0.21,118.74,0.49,340.76,-0.61
2019,Season A,Kirehe,22.34,784.27,0.11,66.21,23.76,0.17,113.18,0.52,345.44,-0.47
2019,Season A,Ngoma,21.86,784.17,0.12,65.41,23.22,0.11,121.64,0.49,340.76,-0.61
2019,Season A,Rwamagana,21.86,784.17,0.12,65.41,23.22,0.12,127.84,0.49,340.76,-0.61
2019,Season A,Bugesera,21.86,784.17,0.12,65.41,23.22,0.14,118.8,0.49,340.76,-0.61
2019,Season A,Gasabo,21.86,784.17,0.12,65.41,23.22,0.2,106.82,0.49,340.76,-0.61
2019,Season A,Kicukiro,21.86,784.17,0.12,65.41,23.22,0.19,122.66,0.49,340.76,-0.61
2019,Season A,Nyarugenge,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2019,Season A,Kamonyi,20.51,784.24,0.12,66.46,21.89,0.07,124.9,0.51,330.14,-0.65
2019,Season A,Muhanga,20.51,784.24,0.12,66.46,21.89,0.02,136.74,0.51,330.14,-0.65
2019,Season A,Ruhango,20.51,784.24,0.12,66.46,21.89,0.03,119.22,0.51,330.14,-0.65
2019,Season A,Nyanza,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2019,Season A,Gisagara,21.52,784.11,0.12,64.63,22.94,0.16,132.9,0.52,336.69,-0.54
2019,Season A,Huye,21.52,784.11,0.12,64.63,22.94,0.09,124.06,0.52,336.69,-0.54
2019,Season A,Nyaruguru,20.18,784.26,0.13,67.69,21.5,0,127.5,0.6,328.43,-0.59
2019,Season A,Nyamagabe,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2019,Season A,Karongi,19.35,784.38,0.11,69.91,20.78,0,131.58,0.58,323.37,-0.52
2019,Season A,Nyabihu,19.1,784.65,0.12,73.37,20.51,0.08,137.26,0.57,324.87,-0.4
2019,Season A,Ngororero,20.51,784.24,0.12,66.46,21.89,0.04,137.2,0.51,330.14,-0.65
2019,Season A,Rubavu,19.35,784.38,0.11,69.91,20.78,0,112.46,0.58,323.37,-0.52
2019,Season A,Rutsiro,19.35,784.38,0.11,69.91,20.78,0.04,137,0.58,323.37,-0.52
2019,Season A,Nyamasheke,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2019,Season A,Rusizi,20.18,784.26,0.13,67.69,21.5,0.06,119.38,0.6,328.43,-0.59
2019,Season A,Rulindo,20.51,784.24,0.12,66.46,21.89,0.2,109.22,0.51,330.14,-0.65
2019,Season A,Gakenke,20.51,784.24,0.12,66.46,21.89,0,131,0.51,330.14,-0.65
2019,Season A,Gicumbi,19.54,784.62,0.11,69.94,21.02,0.23,120.7,0.56,325.54,-0.5
2019,Season A,Burera,19.54,784.62,0.11,69.94,21.02,0.04,113.96,0.56,325.54,-0.5
2019,Season A,Musanze,19.54,784.62,0.11,69.94,21.02,0.1,125.22,0.56,325.54,-0.5
2019,Season B,Nyagatare,22.03,786.67,0.2,61.04,23.17,0.12,88.83,0.43,339.26,-0.51
2019,Season B,Gatsibo,22.03,786.67,0.2,61.04,23.17,0.13,104.9,0.43,339.26,-0.51
2019,Season B,Kayonza,22.68,786.56,0.22,61.12,23.74,0.17,112.85,0.45,344.5,-0.48
2019,Season B,Kirehe,23.48,786.58,0.14,60.46,24.9,0.04,99.9,0.43,350.51,-0.52
2019,Season B,Ngoma,22.68,786.56,0.22,61.12,23.74,0.07,113.1,0.45,344.5,-0.48
2019,Season B,Rwamagana,22.68,786.56,0.22,61.12,23.74,0.06,121.92,0.45,344.5,-0.48
2019,Season B,Bugesera,22.68,786.56,0.22,61.12,23.74,0.04,89.58,0.45,344.5,-0.48
2019,Season B,Gasabo,22.68,786.56,0.22,61.12,23.74,0.1,76.7,0.45,344.5,-0.48
2019,Season B,Kicukiro,22.68,786.56,0.22,61.12,23.74,0.12,104.45,0.45,344.5,-0.48
2019,Season B,Nyarugenge,21.19,786.74,0.22,62.48,22.34,0.13,97.78,0.45,332.89,-0.59
2019,Season B,Kamonyi,21.19,786.74,0.22,62.48,22.34,0.06,73.47,0.45,332.89,-0.59
2019,Season B,Muhanga,21.19,786.74,0.22,62.48,22.34,0,84.5,0.45,332.89,-0.59
2019,Season B,Ruhango,21.19,786.74,0.22,62.48,22.34,0.03,84.5,0.45,332.89,-0.59
2019,Season B,Nyanza,22.3,786.56,0.24,61.06,23.53,0.03,63.38,0.45,340.55,-0.5
2019,Season B,Gisagara,22.3,786.56,0.24,61.06,23.53,0.18,105.33,0.45,340.55,-0.5
2019,Season B,Huye,22.3,786.56,0.24,61.06,23.53,0.07,90.33,0.45,340.55,-0.5
2019,Season B,Nyaruguru,20.65,786.85,0.29,65.13,21.58,0.08,89.6,0.56,330.95,-0.7
2019,Season B,Nyamagabe,20.65,786.85,0.29,65.13,21.58,0.07,61.4,0.56,330.95,-0.7
2019,Season B,Karongi,19.95,786.87,0.28,65.52,20.93,0.08,89.17,0.51,325.86,-0.68
2019,Season B,Nyabihu,20.26,786.76,0.26,64.37,21.32,0.13,78.1,0.49,328.5,-0.51
2019,Season B,Ngororero,21.19,786.74,0.22,62.48,22.34,0.13,72.6,0.45,332.89,-0.59
2019,Season B,Rubavu,19.95,786.87,0.28,65.52,20.93,0.11,92.53,0.51,325.86,-0.68
2019,Season B,Rutsiro,19.95,786.87,0.28,65.52,20.93,0.04,101.3,0.51,325.86,-0.68
2019,Season B,Nyamasheke,20.65,786.85,0.29,65.13,21.58,0.09,127.1,0.56,330.95,-0.7
2019,Season B,Rusizi,20.65,786.85,0.29,65.13,21.58,0.05,116.03,0.56,330.95,-0.7
2019,Season B,Rulindo,21.19,786.74,0.22,62.48,22.34,0.09,88.83,0.45,332.89,-0.59
2019,Season B,Gakenke,21.19,786.74,0.22,62.48,22.34,0.05,73.17,0.45,332.89,-0.59
2019,Season B,Gicumbi,20.35,786.89,0.26,64.12,21.37,0.12,89.55,0.48,328.96,-0.61
2019,Season B,Burera,20.35,786.89,0.26,64.12,21.37,0.09,96.15,0.48,328.96,-0.61
2019,Season B,Musanze,20.35,786.89,0.26,64.12,21.37,0.11,104.52,0.48,328.96,-0.61
2019,Season C,Nyagatare,23.21,792.75,0,33.72,24.73,0.09,55.9,0.18,323.65,-0.85
2019,Season C,Gatsibo,23.21,792.75,0,33.72,24.73,0.09,34.97,0.18,323.65,-0.85
2019,Season C,Kayonza,24.06,792.64,0,29.17,25.41,0.05,24.47,0.18,325.61,-0.88
2019,Season C,Kirehe,24.57,792.86,0,27.65,26.05,0.23,9.07,0.17,328.04,-0.79
2019,Season C,Ngoma,24.06,792.64,0,29.17,25.41,0.04,9.77,0.18,325.61,-0.88
2019,Season C,Rwamagana,24.06,792.64,0,29.17,25.41,0.04,29.03,0.18,325.61,-0.88
2019,Season C,Bugesera,24.06,792.64,0,29.17,25.41,0.17,7.87,0.18,325.61,-0.88
2019,Season C,Gasabo,24.06,792.64,0,29.17,25.41,0.17,37.9,0.18,325.61,-0.88
2019,Season C,Kicukiro,24.06,792.64,0,29.17,25.41,0.21,18.63,0.18,325.61,-0.88
2019,Season C,Nyarugenge,22.45,792.72,0,30.39,23.83,0.34,23.6,0.18,315.64,-0.8
2019,Season C,Kamonyi,22.45,792.72,0,30.39,23.83,0.35,29.37,0.18,315.64,-0.8
2019,Season C,Muhanga,22.45,792.72,0,30.39,23.83,0.08,39.57,0.18,315.64,-0.8
2019,Season C,Ruhango,22.45,792.72,0,30.39,23.83,0.15,20.27,0.18,315.64,-0.8
2019,Season C,Nyanza,23.19,792.87,0,28.24,24.66,0.22,0.33,0.17,319.01,-0.56
